                                                                                AngularVelocity                                                                 10.04.2519.43.20104 
Timestamp,GyroX,GyroY,GyroZ
1744304519.696,-114.7300033569336,24.920000076293945,134.9600067138672
1744304519.696,-111.93000030517578,19.25,144.75999450683594
1744304519.696,-100.23999786376953,19.809999465942383,141.6800079345703
1744304519.77,-105.7699966430664,23.520000457763672,142.8699951171875
1744304519.77,-106.4000015258789,17.989999771118164,141.3300018310547
1744304519.77,-91.84000396728516,17.43000030517578,130.27000427246094
1744304519.77,-98.9800033569336,10.710000038146973,121.87000274658203
1744304519.77,-99.54000091552734,0.3499999940395355,121.94000244140625
1744304519.77,-74.76000213623047,-0.6299999952316284,101.43000030517578
1744304519.77,-77.69999694824219,-2.870000123977661,102.41000366210938
1744304519.77,-70.62999725341797,-0.6299999952316284,103.94999694824219
1744304519.844,-55.93000030517578,1.75,102.9000015258789
1744304519.844,-52.779998779296875,4.760000228881836,97.16000366210938
1744304519.844,-35.560001373291016,10.430000305175781,85.47000122070312
1744304519.844,-30.450000762939453,12.670000076293945,78.26000213623047
1744304519.844,-16.030000686645508,10.220000267028809,67.12999725341797
1744304519.844,-9.029999732971191,10.850000381469727,66.29000091552734
1744304519.844,-5.320000171661377,8.119999885559082,61.529998779296875
1744304519.844,4.059999942779541,5.599999904632568,58.380001068115234
1744304519.918,19.110000610351562,3.2899999618530273,38.779998779296875
1744304519.918,23.030000686645508,4.760000228881836,30.380001068115234
1744304519.918,32.40999984741211,8.260000228881836,25.760000228881836
1744304519.918,42,10.289999961853027,18.059999465942383
1744304519.918,46.689998626708984,11.6899995803833,12.109999656677246
1744304519.918,54.67000198364258,18.1299991607666,6.300000190734863
1744304519.918,63.06999969482422,25.059999465942383,1.3300000429153442
1744304519.918,72.37999725341797,20.860000610351562,-0.6299999952316284
1744304519.993,82.66999816894531,10.640000343322754,-1.9600000381469727
1744304519.993,90.72000122070312,0.9100000262260437,-2.450000047683716
1744304519.993,94.91999816894531,-5.179999828338623,-1.0499999523162842
1744304519.993,91.55999755859375,-1.1200000047683716,-0.9800000190734863
1744304519.993,85.19000244140625,15.399999618530273,0.5600000023841858
1744304519.993,77.27999877929688,30.799999237060547,2.7300000190734863
1744304519.993,71.88999938964844,34.790000915527344,2.6600000858306885
1744304519.993,65.87000274658203,37.65999984741211,-1.8200000524520874
1744304520.068,57.88999938964844,53.47999954223633,-10.079999923706055
1744304520.068,50.470001220703125,62.369998931884766,-18.969999313354492
1744304520.068,36.540000915527344,54.880001068115234,-24.149999618530273
1744304520.068,12.039999961853027,67.9000015258789,-25.200000762939453
1744304520.068,9.520000457763672,40.38999938964844,-21.350000381469727
1744304520.068,23.8700008392334,22.469999313354492,-15.119999885559082
1744304520.068,40.31999969482422,30.450000762939453,-11.40999984741211
1744304520.068,72.66000366210938,12.880000114440918,-8.329999923706055
1744304520.142,87.56999969482422,-9.869999885559082,-9.239999771118164
1744304520.142,85.61000061035156,8.75,-4.96999979019165
1744304520.142,104.6500015258789,-7.420000076293945,-1.6100000143051147
1744304520.142,133.2100067138672,-45.709999084472656,-7.490000247955322
1744304520.142,128.1699981689453,-75.31999969482422,-28
1744304520.142,120.4000015258789,-79.5199966430664,-46.060001373291016
1744304520.142,125.93000030517578,-53.47999954223633,-79.87000274658203
1744304520.142,99.12000274658203,24.639999389648438,-89.31999969482422
1744304520.216,79.59000396728516,84.91000366210938,-73.22000122070312
1744304520.216,79.5199966430664,89.87999725341797,-61.040000915527344
1744304520.216,77.62999725341797,73.22000122070312,-55.51000213623047
1744304520.216,83.30000305175781,32.83000183105469,-52.43000030517578
1744304520.216,93.16999816894531,-7,-54.810001373291016
1744304520.216,97.51000213623047,-32.20000076293945,-58.2400016784668
1744304520.216,97.58000183105469,-43.189998626708984,-59.01000213623047
1744304520.216,96.25,-42.06999969482422,-63.84000015258789
1744304520.29,98.9800033569336,-28.280000686645508,-67.05999755859375
1744304520.29,93.37999725341797,-13.300000190734863,-63.42000198364258
1744304520.29,96.94999694824219,-3.0799999237060547,-68.52999877929688
1744304520.29,102.41000366210938,9.800000190734863,-68.80999755859375
1744304520.29,98.3499984741211,21.350000381469727,-65.80000305175781
1744304520.29,96.94999694824219,24.360000610351562,-64.61000061035156
1744304520.29,92.47000122070312,25.270000457763672,-63.279998779296875
1744304520.29,91.91000366210938,21.559999465942383,-62.15999984741211
1744304520.365,92.81999969482422,16.030000686645508,-60.40999984741211
1744304520.365,97.79000091552734,10.640000343322754,-60.130001068115234
1744304520.365,101.77999877929688,9.9399995803833,-64.81999969482422
1744304520.365,104.37000274658203,8.470000267028809,-68.87999725341797
1744304520.365,108.70999908447266,2.450000047683716,-73.22000122070312
1744304520.365,105.84000396728516,0.42000001668930054,-70.48999786376953
1744304520.365,101.8499984741211,-7.909999847412109,-70.06999969482422
1744304520.365,99.88999938964844,-15.960000038146973,-69.37000274658203
1744304520.44,92.33000183105469,-13.440000534057617,-68.94999694824219
1744304520.44,91.3499984741211,-18.40999984741211,-66.36000061035156
1744304520.44,91.3499984741211,-26.809999465942383,-62.650001525878906
1744304520.44,91.7699966430664,-31.989999771118164,-61.459999084472656
1744304520.44,92.05000305175781,-35.70000076293945,-61.459999084472656
1744304520.44,92.68000030517578,-37.72999954223633,-61.599998474121094
1744304520.44,92.88999938964844,-36.68000030517578,-60.689998626708984
1744304520.44,94.36000061035156,-37.17000198364258,-59.43000030517578
1744304520.514,94.1500015258789,-35.13999938964844,-57.61000061035156
1744304520.514,92.75,-28.90999984741211,-56.06999969482422
1744304520.514,89.11000061035156,-27.440000534057617,-55.58000183105469
1744304520.514,84.3499984741211,-26.950000762939453,-53.619998931884766
1744304520.514,78.4000015258789,-25.479999542236328,-50.33000183105469
1744304520.514,71.61000061035156,-30.729999542236328,-47.040000915527344
1744304520.514,63.84000015258789,-41.86000061035156,-45.0099983215332
1744304520.514,55.02000045776367,-46.83000183105469,-43.959999084472656
1744304520.588,50.33000183105469,-56,-43.75
1744304520.588,48.15999984741211,-60.83000183105469,-43.470001220703125
1744304520.588,46.34000015258789,-61.529998779296875,-42.349998474121094
1744304520.588,45.5,-60.130001068115234,-38.9900016784668
1744304520.588,42.77000045776367,-60.619998931884766,-35.560001373291016
1744304520.588,39.40999984741211,-68.66999816894531,-34.5099983215332
1744304520.588,36.470001220703125,-78.88999938964844,-34.86000061035156
1744304520.588,32.970001220703125,-84.91000366210938,-35.42000198364258
1744304520.662,30.65999984741211,-84.84000396728516,-35.90999984741211
1744304520.662,28.420000076293945,-74.41000366210938,-37.099998474121094
1744304520.662,27.15999984741211,-58.2400016784668,-38.5
1744304520.662,26.040000915527344,-46.34000015258789,-39.27000045776367
1744304520.662,23.59000015258789,-44.310001373291016,-39.40999984741211
1744304520.662,20.510000228881836,-44.72999954223633,-39.619998931884766
1744304520.662,18.549999237060547,-42.06999969482422,-40.38999938964844
1744304520.662,17.71000099182129,-35.349998474121094,-41.09000015258789
1744304520.737,18.059999465942383,-26.25,-40.810001373291016
1744304520.737,19.670000076293945,-21.06999969482422,-40.67000198364258
1744304520.737,19.950000762939453,-20.579999923706055,-41.29999923706055
1744304520.737,19.8799991607666,-21.489999771118164,-43.119998931884766
1744304520.737,19.739999771118164,-24.56999969482422,-45.779998779296875
1744304520.737,18.899999618530273,-27.719999313354492,-48.02000045776367
1744304520.737,18.829999923706055,-27.440000534057617,-49.4900016784668
1744304520.737,17.850000381469727,-24.780000686645508,-49.90999984741211
1744304520.812,15.819999694824219,-22.96000099182129,-49.349998474121094
1744304520.812,13.510000228881836,-22.1200008392334,-47.880001068115234
1744304520.812,12.529999732971191,-20.09000015258789,-45.220001220703125
1744304520.812,15.329999923706055,-17.56999969482422,-41.02000045776367
1744304520.812,19.25,-15.470000267028809,-36.81999969482422
1744304520.812,18.899999618530273,-15.399999618530273,-33.810001373291016
1744304520.812,16.940000534057617,-22.399999618530273,-30.940000534057617
1744304520.812,16.450000762939453,-35.13999938964844,-29.260000228881836
1744304520.886,11.199999809265137,-34.58000183105469,-27.93000030517578
1744304520.886,9.520000457763672,-33.040000915527344,-25.829999923706055
1744304520.886,6.579999923706055,-29.68000030517578,-22.96000099182129
1744304520.886,1.6800000667572021,-28.979999542236328,-20.579999923706055
1744304520.886,-2.240000009536743,-29.96000099182129,-17.360000610351562
1744304520.886,-8.890000343322754,-31.219999313354492,-13.789999961853027
1744304520.886,-14.140000343322754,-32.27000045776367,-10.149999618530273
1744304520.886,-17.989999771118164,-32.130001068115234,-7.139999866485596
1744304520.96,-22.81999969482422,-32.40999984741211,-3.569999933242798
1744304520.96,-28.489999771118164,-30.799999237060547,0.14000000059604645
1744304520.96,-37.099998474121094,-23.8700008392334,4.96999979019165
1744304520.96,-44.45000076293945,-10.569999694824219,10.640000343322754
1744304520.96,-53.970001220703125,-0.49000000953674316,15.399999618530273
1744304520.96,-60.54999923706055,-3.3600001335144043,19.040000915527344
1744304520.96,-63.06999969482422,-12.949999809265137,22.610000610351562
1744304520.96,-63.13999938964844,-20.790000915527344,25.200000762939453
1744304521.035,-59.150001525878906,-23.3799991607666,31.43000030517578
1744304521.035,-57.959999084472656,-8.399999618530273,44.52000045776367
1744304521.035,-90.16000366210938,-23.940000534057617,48.369998931884766
1744304521.035,-98.41999816894531,-44.099998474121094,51.17000198364258
1744304521.035,-97.51000213623047,-60.83000183105469,61.18000030517578
1744304521.035,-93.23999786376953,-68.38999938964844,68.94999694824219
1744304521.035,-79.16999816894531,-56.70000076293945,73.91999816894531
1744304521.035,-68.87999725341797,-27.440000534057617,79.0999984741211
1744304521.109,-58.939998626708984,-3.7799999713897705,81.83000183105469
1744304521.109,-57.540000915527344,16.729999542236328,86.7300033569336
1744304521.109,-56,21.350000381469727,87.29000091552734
1744304521.109,-54.38999938964844,16.100000381469727,85.12000274658203
1744304521.109,-57.400001525878906,11.270000457763672,83.51000213623047
1744304521.109,-61.599998474121094,15.190000534057617,80.1500015258789
1744304521.109,-61.25,21.979999542236328,76.2300033569336
1744304521.109,-62.650001525878906,29.75,74.69000244140625
1744304521.184,-64.19000244140625,32.130001068115234,74.97000122070312
1744304521.184,-64.47000122070312,26.880001068115234,75.87999725341797
1744304521.184,-62.58000183105469,19.8799991607666,76.58000183105469
1744304521.184,-58.869998931884766,13.440000534057617,77
1744304521.184,-53.76000213623047,10.710000038146973,76.2300033569336
1744304521.184,-49.279998779296875,13.720000267028809,75.45999908447266
1744304521.184,-45.9900016784668,18.200000762939453,73.08000183105469
1744304521.184,-47.38999938964844,15.119999885559082,69.09000396728516
1744304521.258,-46.619998931884766,17.989999771118164,68.94999694824219
1744304521.258,-41.15999984741211,19.18000030517578,66.70999908447266
1744304521.258,-32.54999923706055,25.1299991607666,65.0999984741211
1744304521.258,-34.86000061035156,25.200000762939453,61.529998779296875
1744304521.258,-38.5,19.25,58.52000045776367
1744304521.258,-35.42000198364258,13.930000305175781,58.380001068115234
1744304521.258,-33.18000030517578,9.520000457763672,54.040000915527344
1744304521.258,-31.56999969482422,7.630000114440918,41.93000030517578
1744304521.332,-27.719999313354492,-1.8899999856948853,38.150001525878906
1744304521.332,-18.200000762939453,-9.730000495910645,35.97999954223633
1744304521.332,-11.760000228881836,-9.59000015258789,33.95000076293945
1744304521.332,-7.909999847412109,-7.420000076293945,31.219999313354492
1744304521.332,-6.090000152587891,-9.170000076293945,28.90999984741211
1744304521.332,-2.799999952316284,-6.860000133514404,26.110000610351562
1744304521.332,-1.2599999904632568,1.4700000286102295,24.56999969482422
1744304521.332,-2.5199999809265137,10.569999694824219,21.350000381469727
1744304521.407,-5.110000133514404,18.200000762939453,16.8700008392334
1744304521.407,-6.579999923706055,24.989999771118164,12.039999961853027
1744304521.407,-3.2899999618530273,33.599998474121094,6.159999847412109
1744304521.407,0.49000000953674316,36.470001220703125,1.6800000667572021
1744304521.407,5.110000133514404,28.280000686645508,-3.2899999618530273
1744304521.407,6.300000190734863,10.220000267028809,-7.139999866485596
1744304521.407,6.860000133514404,-5.389999866485596,-9.449999809265137
1744304521.407,10.710000038146973,-3.2899999618530273,-10.989999771118164
1744304521.481,15.609999656677246,11.760000228881836,-11.199999809265137
1744304521.481,23.729999542236328,36.2599983215332,-11.40999984741211
1744304521.481,29.610000610351562,59.9900016784668,-14.90999984741211
1744304521.481,28.489999771118164,81.34000396728516,-17.639999389648438
1744304521.481,28.559999465942383,97.09000396728516,-17.920000076293945
1744304521.481,30.450000762939453,113.05000305175781,-12.739999771118164
1744304521.481,25.40999984741211,144.69000244140625,-2.940000057220459
1744304521.481,18.059999465942383,167.50999450683594,5.949999809265137
1744304521.556,10.289999961853027,149.8699951171875,14.350000381469727
1744304521.556,3.7799999713897705,107.37999725341797,22.399999618530273
1744304521.556,6.579999923706055,72.37999725341797,29.469999313354492
1744304521.556,18.969999313354492,48.5099983215332,34.369998931884766
1744304521.556,31.5,27.579999923706055,41.650001525878906
1744304521.556,41.15999984741211,4.340000152587891,44.65999984741211
1744304521.556,50.61000061035156,-14.420000076293945,30.170000076293945
1744304521.556,69.58000183105469,1.8200000524520874,-0.42000001668930054
1744304521.63,35.97999954223633,29.96000099182129,-11.619999885559082
1744304521.63,-11.130000114440918,65.66000366210938,9.239999771118164
1744304521.63,44.099998474121094,-27.579999923706055,32.40999984741211
1744304521.63,43.189998626708984,-91.91000366210938,54.11000061035156
1744304521.63,59.92000198364258,-74.76000213623047,51.869998931884766
1744304521.63,65.37999725341797,2.0299999713897705,31.010000228881836
1744304521.63,32.27000045776367,67.19999694824219,4.409999847412109
1744304521.63,29.469999313354492,4.900000095367432,-22.68000030517578
1744304521.704,41.29999923706055,-57.959999084472656,-31.290000915527344
1744304521.704,48.22999954223633,-66.29000091552734,-27.3700008392334
1744304521.704,44.029998779296875,-37.79999923706055,-29.469999313354492
1744304521.704,41.02000045776367,5.320000171661377,-38.849998474121094
1744304521.704,42.630001068115234,35,-50.2599983215332
1744304521.704,45.36000061035156,34.02000045776367,-53.689998626708984
1744304521.704,49.279998779296875,11.899999618530273,-48.29999923706055
1744304521.704,46.060001373291016,0.21000000834465027,-45.08000183105469
1744304521.779,38.0099983215332,-3.7799999713897705,-45.0099983215332
1744304521.779,31.56999969482422,-8.470000267028809,-44.72999954223633
1744304521.779,30.940000534057617,-19.389999389648438,-40.810001373291016
1744304521.779,31.079999923706055,-38.290000915527344,-34.86000061035156
1744304521.779,29.190000534057617,-38.220001220703125,-31.079999923706055
1744304521.779,28.280000686645508,-25.40999984741211,-32.060001373291016
1744304521.779,29.260000228881836,-18.549999237060547,-34.15999984741211
1744304521.779,33.38999938964844,-20.649999618530273,-32.689998626708984
1744304521.853,32.47999954223633,-20.440000534057617,-29.399999618530273
1744304521.853,26.31999969482422,-16.520000457763672,-28.06999969482422
1744304521.853,21.350000381469727,-16.799999237060547,-28.420000076293945
1744304521.853,21.489999771118164,-12.25,-29.469999313354492
1744304521.853,24.010000228881836,-11.270000457763672,-29.329999923706055
1744304521.853,25.549999237060547,-11.480000495910645,-26.31999969482422
1744304521.853,25.899999618530273,-8.609999656677246,-23.799999237060547
1744304521.853,26.880001068115234,-1.75,-22.399999618530273
1744304521.927,27.579999923706055,5.880000114440918,-21.21000099182129
