                                                                                MagneticField                                                                   10.04.2519.43.20104 
Timestamp,MagnX,MagnY,MagnZ
1744304519.681,123.51994323730469,-175.16224670410156,31.065643310546875
1744304519.681,123.96745300292969,-173.62567138671875,32.877071380615234
1744304519.755,126.1362533569336,-177.15676879882812,34.339385986328125
1744304519.755,124.40204620361328,-175.2916717529297,32.719017028808594
1744304519.755,125.72905731201172,-176.0445556640625,32.997222900390625
1744304519.755,125.32832336425781,-173.33108520507812,32.639801025390625
1744304519.755,123.84793090820312,-175.73153686523438,32.36438751220703
1744304519.755,123.80169677734375,-175.18170166015625,33.30327606201172
1744304519.755,125.73594665527344,-174.1634063720703,35.15305709838867
1744304519.755,124.42263793945312,-173.68740844726562,34.12474822998047
1744304519.829,124.94125366210938,-171.37530517578125,35.372249603271484
1744304519.829,124.94125366210938,-171.37530517578125,35.372249603271484
